x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,value,Timestamp
1,0,0,2,2,0,1,0,2,0,3,1,2,0,3,3,-5.2923945086546365,974
1,1,0,3,0,3,1,3,3,1,0,3,0,3,3,2,-4.437157009641258,987
2,2,0,2,3,2,3,3,1,2,0,0,1,1,0,2,-2.0552249938816276,999
3,3,1,2,2,0,2,3,3,3,3,1,1,0,2,2,-5.164583928381382,1013
0,1,2,2,0,2,1,2,2,2,0,1,1,0,2,2,-3.0120175172949484,1026
2,0,0,1,0,0,3,1,2,2,2,1,2,0,1,2,-5.094252232473214,1038
3,0,3,1,2,2,0,2,1,1,2,2,1,1,1,1,-5.2923945086546365,1052
2,0,2,1,3,1,0,2,1,2,3,1,2,1,0,2,-4.922288321894032,1065
2,3,2,2,3,2,1,1,0,1,2,2,1,1,0,1,-2.8351811798550166,1078
2,2,0,3,0,3,3,2,1,0,1,1,1,0,3,1,-5.223170032027228,1091
2,3,2,1,3,3,1,1,0,3,1,1,0,1,1,3,-3.1795004147035257,1105
2,1,3,3,1,1,3,0,0,1,0,3,3,1,0,0,-3.5265579619883707,1118
2,0,2,0,0,3,2,2,2,3,2,2,3,0,3,2,-7.52808329719237,1131
3,1,1,0,2,2,3,0,3,0,1,1,0,3,0,3,-5.206621720782193,1145
3,2,0,1,0,2,1,0,3,0,3,2,0,0,0,0,-4.918052044455739,1157
0,2,2,0,2,1,1,2,2,0,1,0,0,0,3,0,-2.055224993881629,1168
3,0,3,1,2,0,3,1,0,2,0,0,2,2,2,0,-5.254997947180127,1181
3,3,0,1,3,3,1,1,0,1,1,1,1,3,1,2,-4.8237646277783215,1195
2,0,0,3,2,2,0,3,2,3,1,1,3,3,1,1,-6.396809054335769,1209
3,2,1,1,2,3,2,3,1,3,0,2,3,2,3,1,-4.409592222103056,1224
0,0,0,2,0,1,3,1,0,1,3,1,3,2,0,2,-6.423671056147651,1236
3,1,1,1,1,2,3,2,0,3,2,2,0,2,3,0,-4.824750750242024,1251
0,0,1,2,0,1,3,3,2,3,2,3,3,0,3,0,-3.1492027678376284,1264
1,3,1,2,3,0,2,1,0,0,1,1,0,0,0,1,-4.418872289152872,1277
2,3,1,0,2,2,1,3,2,2,1,0,1,2,0,0,-6.399153593130219,1290
1,0,2,0,1,2,0,3,0,2,3,3,0,2,2,2,-5.2107138731512554,1302
1,0,2,1,1,2,0,0,1,0,3,3,3,1,0,1,-4.539047999044894,1315
1,3,3,2,3,3,2,3,3,3,3,3,2,1,3,2,-5.155593635505036,1330
2,2,3,1,0,1,3,1,2,0,3,3,0,0,2,0,-6.2420989240547025,2148
2,3,3,3,0,1,0,3,2,3,2,3,0,0,0,0,-6.40790752084206,2827
0,3,1,3,2,2,0,2,0,0,3,2,0,0,0,0,-7.6636155453322825,3527
0,3,0,3,2,3,0,3,1,0,3,2,3,2,0,0,-4.837818220977223,4154
1,3,2,3,2,1,0,3,1,0,1,2,0,0,1,0,-4.817347017241756,4860
0,3,2,0,2,0,0,1,2,0,3,2,2,0,2,0,-3.540379050890097,5558
2,3,2,3,0,1,0,2,2,1,2,0,0,1,3,0,-6.39029697387233,6230
0,3,0,3,2,1,0,2,0,0,3,3,0,1,0,0,-6.275734536765977,6931
0,3,3,3,1,3,1,2,2,3,1,2,1,0,2,0,-3.187611599865508,7622
1,3,3,3,2,1,0,2,2,0,1,3,0,0,2,0,-6.551519195261276,8313
0,2,2,3,2,2,0,2,0,0,2,0,0,2,0,0,-5.335718227344705,8997
2,3,3,3,0,1,1,2,2,0,1,3,0,0,2,0,-6.259324688359545,9673
0,3,3,3,2,2,1,2,0,0,2,3,3,1,2,1,-6.275734536765977,10367
2,3,1,0,2,0,0,2,0,0,0,1,0,0,2,0,-3.1521486009700883,11069
2,3,0,0,1,2,1,2,1,3,1,3,3,0,3,0,-4.893031004763804,11747
0,3,3,3,2,2,0,2,3,0,3,3,0,0,0,0,-2.559474983826121,12445
2,2,3,3,2,3,0,3,2,0,1,3,0,0,2,0,-6.646898292721822,13172
0,3,1,3,2,2,0,2,2,0,3,3,0,0,2,0,-5.335718227344707,13865
1,1,1,3,0,1,0,3,3,2,3,1,0,0,3,0,-4.435282148418477,13915
3,2,2,0,0,3,0,0,0,2,0,2,3,2,3,0,-5.906368396165673,13962
0,3,3,3,2,1,0,2,2,0,1,3,0,0,2,0,-5.335718227344707,14649
2,0,0,0,0,3,2,1,2,3,2,1,3,1,3,2,-5.21498522990896,15308
0,1,1,3,2,2,3,3,0,0,3,2,0,0,0,0,-6.087047273639594,16002
1,0,2,0,0,3,2,2,2,2,2,0,0,0,3,2,-6.303975273360396,16677
1,3,0,0,0,3,3,2,2,3,1,2,2,0,0,2,-4.527665285199601,17374
0,3,0,3,0,3,1,3,0,0,3,0,3,0,0,0,-6.417200721972295,18093
1,3,3,0,1,1,0,2,2,0,1,3,3,3,2,2,-5.199373161298807,18781
3,3,0,3,2,1,0,2,2,0,1,3,0,0,2,0,-4.585582855890751,19459
0,2,1,1,0,0,1,1,0,0,3,1,3,1,0,2,-6.551519184616833,20141
0,2,0,2,2,0,0,1,0,0,3,3,2,0,0,0,-6.546932831366225,20830
3,1,2,0,1,2,2,2,2,3,1,3,2,0,3,2,-4.684578726019124,21526
0,3,0,0,0,2,0,3,0,1,3,1,0,1,0,0,-6.430786208899431,22213
2,3,3,3,2,1,0,2,2,0,1,3,1,0,2,0,-7.767320163607306,22917
2,3,3,3,2,0,0,3,3,0,1,3,1,0,2,0,-5.1822774289404006,23621
