x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,value,Timestamp
2,1,1,3,3,0,0,1,0,3,0,3,3,2,1,1,2,1,2,2,0,0,0,3,-0.7910834010019474,957
0,1,2,2,0,0,2,0,0,1,2,3,0,0,2,1,2,0,0,2,3,3,3,2,-0.4284679695754423,971
3,1,1,3,2,3,3,0,2,0,0,0,3,0,3,1,2,0,3,2,3,3,1,2,-0.6964099761792488,987
1,1,1,0,3,3,0,3,3,1,0,1,3,1,2,3,2,1,0,2,0,0,0,1,-0.789967910438724,1003
0,1,0,2,1,2,3,0,3,1,0,2,2,0,3,2,1,1,0,2,3,3,3,3,-1.021847356422765,1019
0,0,0,2,0,3,2,1,0,2,0,2,0,2,2,1,3,1,2,2,0,0,3,1,-0.42846824684224916,1034
3,0,3,0,3,2,0,2,1,0,2,2,3,0,2,3,3,2,3,1,0,2,0,3,-0.6691521015444627,1050
1,3,0,1,1,3,2,0,3,3,2,1,1,0,1,0,2,2,2,3,3,3,2,3,-0.7275957726536071,1066
2,2,0,1,2,2,0,3,3,3,1,0,0,0,2,3,3,0,3,1,3,2,2,0,-1.7386880987803852,1082
0,1,0,0,2,2,1,3,3,1,0,3,0,2,2,1,3,3,2,1,1,1,1,1,-0.4214850444819153,1099
1,0,3,1,0,1,1,1,2,3,0,1,3,1,3,2,3,2,0,3,1,2,2,2,-0.6964099761792487,1115
1,2,0,0,1,1,0,0,3,3,2,0,1,0,1,1,0,3,3,0,3,0,3,0,-1.0218470791559582,1129
3,3,1,0,1,2,0,2,0,2,2,0,2,2,3,1,3,1,3,3,1,0,3,1,-0.6964099761792488,1146
1,3,0,3,0,2,3,0,3,3,2,0,0,0,0,2,3,2,1,3,0,3,2,2,-1.2452856183546837,1162
0,1,2,3,0,2,2,0,1,3,3,0,1,1,2,3,3,3,2,0,2,3,3,0,-1.144288607672197,1178
3,0,2,2,1,0,2,0,0,0,2,2,1,3,1,3,2,0,2,2,0,0,3,3,-1.4917644873002378,1192
3,2,2,1,3,1,1,3,0,0,3,1,1,2,1,3,0,3,2,2,3,2,3,3,-0.7275957726536071,1209
3,2,3,0,3,3,3,0,1,3,1,3,3,1,0,0,3,1,2,3,1,3,2,2,-0.7275957726536071,1226
0,3,2,0,3,2,2,1,1,1,3,1,0,1,3,1,1,2,0,0,2,3,1,1,-0.4284679695754423,1242
0,2,2,2,3,0,1,2,0,1,0,0,0,1,2,1,1,1,1,1,0,0,1,0,-0.6964094313428484,1257
2,3,2,2,1,1,1,3,2,2,0,2,3,3,3,2,0,2,0,0,1,3,1,3,-1.5025373840357599,1272
0,3,0,3,0,3,1,1,0,1,1,0,0,2,1,2,0,1,1,3,2,2,1,1,-1.0267235757317719,1289
1,3,1,3,1,0,3,1,0,2,3,2,0,0,3,3,2,3,3,3,0,1,2,2,-0.7779381403447547,1305
2,3,3,1,3,2,0,3,0,0,0,2,0,0,3,3,3,3,0,1,2,1,2,2,-1.021847356422765,1321
1,0,3,2,1,2,1,3,2,0,1,3,2,3,3,3,0,3,1,1,3,3,3,2,-0.6964094313428484,1338
3,0,1,2,3,0,0,1,3,0,0,2,1,3,1,1,2,2,0,2,3,1,3,0,-0.433344466151256,1353
